created_at,entry_id,field1,field2,field3,field4,latitude,longitude,elevation,status
2022-01-09T11:58:56+07:00,65,99.00000,77.00000,27.10000,0.00000,,,,
2022-01-09T11:59:26+07:00,66,98.00000,77.00000,27.10000,0.00000,,,,
2022-01-09T11:59:56+07:00,67,96.00000,77.00000,27.10000,0.00000,,,,
2022-01-09T12:00:26+07:00,68,94.00000,77.00000,27.10000,0.00000,,,,
2022-01-09T12:00:56+07:00,69,91.00000,77.00000,27.10000,0.00000,,,,
2022-01-09T12:01:29+07:00,70,89.00000,77.00000,27.10000,0.00000,,,,
2022-01-09T12:01:56+07:00,71,85.00000,77.00000,27.10000,0.00000,,,,
2022-01-09T12:02:26+07:00,72,80.00000,77.00000,27.10000,0.00000,,,,
2022-01-09T12:02:56+07:00,73,76.00000,77.00000,27.10000,0.00000,,,,
2022-01-09T12:03:26+07:00,74,75.00000,77.00000,27.10000,0.00000,,,,
2022-01-09T12:03:56+07:00,75,75.00000,77.00000,27.10000,0.00000,,,,
2022-01-09T12:04:27+07:00,76,75.00000,77.00000,27.10000,0.00000,,,,
2022-01-09T12:04:57+07:00,77,73.00000,77.00000,27.10000,0.00000,,,,
2022-01-09T12:05:26+07:00,78,71.00000,77.00000,27.10000,0.00000,,,,
2022-01-09T12:05:59+07:00,79,68.00000,77.00000,27.10000,0.00000,,,,
2022-01-09T12:06:26+07:00,80,65.00000,77.00000,27.10000,0.00000,,,,
2022-01-09T12:06:56+07:00,81,61.00000,77.00000,27.10000,0.00000,,,,
2022-01-09T12:07:26+07:00,82,60.00000,77.00000,27.10000,0.00000,,,,
2022-01-09T12:07:56+07:00,83,60.00000,77.00000,27.10000,0.00000,,,,
2022-01-09T12:08:26+07:00,84,59.00000,77.00000,27.10000,0.00000,,,,
2022-01-09T12:08:56+07:00,85,59.00000,77.00000,27.10000,0.00000,,,,
2022-01-09T12:09:26+07:00,86,60.00000,77.00000,27.10000,0.00000,,,,
2022-01-09T12:09:56+07:00,87,60.00000,77.00000,27.10000,0.00000,,,,
2022-01-09T12:10:26+07:00,88,59.00000,77.00000,27.10000,0.00000,,,,
2022-01-09T12:10:56+07:00,89,57.00000,77.00000,27.10000,0.00000,,,,
2022-01-09T12:11:27+07:00,90,56.00000,77.00000,27.10000,0.00000,,,,
2022-01-09T12:11:56+07:00,91,55.00000,77.00000,27.10000,0.00000,,,,
2022-01-09T12:12:29+07:00,92,55.00000,77.00000,27.10000,0.00000,,,,
2022-01-09T12:12:57+07:00,93,55.00000,77.00000,27.10000,0.00000,,,,
2022-01-09T12:13:26+07:00,94,54.00000,78.00000,27.10000,0.00000,,,,
2022-01-09T12:13:56+07:00,95,53.00000,78.00000,27.10000,0.00000,,,,
2022-01-09T12:14:26+07:00,96,49.00000,78.00000,27.10000,0.00000,,,,
2022-01-09T12:14:56+07:00,97,53.00000,78.00000,27.10000,0.00000,,,,
2022-01-09T12:15:26+07:00,98,53.00000,78.00000,27.10000,0.00000,,,,
2022-01-09T12:15:56+07:00,99,53.00000,78.00000,27.10000,0.00000,,,,
2022-01-09T12:16:27+07:00,100,53.00000,78.00000,27.10000,0.00000,,,,
2022-01-09T12:16:56+07:00,101,53.00000,78.00000,27.10000,0.00000,,,,
2022-01-09T12:17:29+07:00,102,53.00000,78.00000,27.10000,0.00000,,,,
2022-01-09T12:17:56+07:00,103,53.00000,78.00000,27.10000,0.00000,,,,
2022-01-09T12:18:29+07:00,104,54.00000,78.00000,27.10000,0.00000,,,,
2022-01-09T12:18:57+07:00,105,53.00000,78.00000,27.10000,0.00000,,,,
2022-01-09T12:19:26+07:00,106,54.00000,78.00000,27.10000,0.00000,,,,
2022-01-09T12:19:56+07:00,107,54.00000,78.00000,27.10000,0.00000,,,,
2022-01-09T12:20:27+07:00,108,53.00000,78.00000,27.10000,0.00000,,,,
2022-01-09T12:20:56+07:00,109,53.00000,78.00000,27.10000,0.00000,,,,
2022-01-09T12:21:26+07:00,110,51.00000,78.00000,27.10000,0.00000,,,,
2022-01-09T12:21:58+07:00,111,50.00000,78.00000,27.10000,0.00000,,,,
2022-01-09T12:22:26+07:00,112,51.00000,78.00000,27.10000,0.00000,,,,
2022-01-09T12:22:56+07:00,113,51.00000,78.00000,27.10000,0.00000,,,,
2022-01-09T12:23:26+07:00,114,53.00000,78.00000,27.10000,0.00000,,,,
2022-01-09T12:23:56+07:00,115,53.00000,78.00000,27.10000,0.00000,,,,
2022-01-09T12:24:26+07:00,116,55.00000,78.00000,27.10000,0.00000,,,,
2022-01-09T12:24:57+07:00,117,55.00000,78.00000,27.10000,0.00000,,,,
2022-01-09T12:25:29+07:00,118,56.00000,78.00000,27.10000,0.00000,,,,
2022-01-09T12:25:56+07:00,119,56.00000,78.00000,27.10000,0.00000,,,,
2022-01-09T12:26:26+07:00,120,57.00000,78.00000,27.10000,0.00000,,,,
2022-01-09T12:26:56+07:00,121,58.00000,78.00000,27.10000,0.00000,,,,
2022-01-09T12:27:26+07:00,122,59.00000,78.00000,27.10000,0.00000,,,,
2022-01-09T12:28:00+07:00,123,60.00000,78.00000,27.10000,0.00000,,,,
2022-01-09T12:28:29+07:00,124,63.00000,78.00000,27.10000,0.00000,,,,
2022-01-09T12:28:57+07:00,125,66.00000,78.00000,27.10000,0.00000,,,,
2022-01-09T12:29:26+07:00,126,69.00000,78.00000,27.10000,0.00000,,,,
2022-01-09T12:29:56+07:00,127,71.00000,78.00000,27.10000,0.00000,,,,
2022-01-09T12:30:27+07:00,128,74.00000,78.00000,27.10000,0.00000,,,,
2022-01-09T12:30:57+07:00,129,76.00000,78.00000,27.10000,0.00000,,,,
2022-01-09T12:31:26+07:00,130,79.00000,78.00000,27.10000,0.00000,,,,
2022-01-09T12:31:56+07:00,131,83.00000,78.00000,27.10000,0.00000,,,,
2022-01-09T12:32:26+07:00,132,85.00000,78.00000,27.10000,0.00000,,,,
2022-01-09T12:32:59+07:00,133,86.00000,78.00000,27.10000,0.00000,,,,
