created_at,entry_id,field1,field2,field3,field4,latitude,longitude,elevation,status
2022-01-01T23:32:13+07:00,1,1.00,78.00,26.20,"23.00

",,,,
2022-01-01T23:32:43+07:00,2,1.00,78.00,26.20,"21.00

",,,,
2022-01-01T23:33:15+07:00,3,1.00,78.00,26.20,"19.00

",,,,
2022-01-01T23:33:44+07:00,4,736.00,78.00,26.20,"23.00

",,,,
2022-01-01T23:38:48+07:00,5,1.00,78.00,26.20,"34.00

",,,,
2022-01-01T23:39:15+07:00,6,1.00,78.00,26.20,"27.00

",,,,
2022-01-01T23:40:14+07:00,7,1.00,78.00,26.20,"19.00

",,,,
2022-01-01T23:40:44+07:00,8,1.00,78.00,26.20,"14.00

",,,,
2022-01-01T23:41:47+07:00,9,0.00,78.00,26.20,"19.00

",,,,
2022-01-01T23:42:15+07:00,10,1.00,78.00,26.20,"19.00

",,,,
2022-01-01T23:43:15+07:00,11,0.00,78.00,26.20,"21.00

",,,,
2022-01-01T23:43:45+07:00,12,1.00,78.00,26.20,"16.00

",,,,
2022-01-01T23:44:45+07:00,13,1.00,78.00,26.20,"14.00

",,,,
2022-01-01T23:46:16+07:00,14,1.00,78.00,26.20,"16.00

",,,,
2022-01-01T23:47:15+07:00,15,1.00,78.00,26.20,"17.00

",,,,
2022-01-01T23:47:46+07:00,16,1.00,78.00,26.20,"17.00

",,,,
2022-01-01T23:48:16+07:00,17,1.00,78.00,26.20,"19.00

",,,,
2022-01-01T23:48:45+07:00,18,1.00,78.00,26.20,"14.00

",,,,
2022-01-01T23:49:16+07:00,19,1.00,78.00,26.20,"17.00

",,,,
2022-01-01T23:49:47+07:00,20,1.00,78.00,26.20,"16.00

",,,,
2022-01-01T23:50:16+07:00,21,1.00,78.00,26.20,"17.00

",,,,
2022-01-01T23:50:46+07:00,22,1.00,78.00,26.20,"16.00

",,,,
2022-01-01T23:51:16+07:00,23,1.00,78.00,26.20,"14.00

",,,,
2022-01-01T23:52:16+07:00,24,1.00,78.00,26.20,"16.00

",,,,
2022-01-01T23:52:46+07:00,25,1.00,78.00,26.20,"17.00

",,,,
2022-01-01T23:53:16+07:00,26,1.00,78.00,26.20,"13.00

",,,,
2022-01-01T23:53:46+07:00,27,1.00,78.00,26.20,"19.00

",,,,
2022-01-01T23:54:46+07:00,28,1.00,78.00,26.20,"13.00

",,,,
2022-01-01T23:55:16+07:00,29,1.00,78.00,26.20,"16.00

",,,,
2022-01-01T23:55:46+07:00,30,1.00,78.00,26.20,"16.00

",,,,
2022-01-02T16:29:50+07:00,31,11.00,81.00,25.79,"3027.00

",,,,
2022-01-02T16:30:08+07:00,32,29.00,81.00,25.79,"2661.00

",,,,
2022-01-02T16:30:38+07:00,33,3450.00,81.00,26.00,"20.00

",,,,
2022-01-02T16:30:55+07:00,34,2650.42,81.00,2.00,"6.20

",,,,
2022-01-02T16:31:22+07:00,35,26.70,2998.40,0.00,"81.00

",,,,
2022-01-02T16:31:45+07:00,36,70.00,2072.38,81.00,"26.00

",,,,
2022-01-02T16:32:04+07:00,37,81.00,26.70,3432.33,"0.00

",,,,
2022-01-02T16:32:29+07:00,38,80.00,26.70,1861.31,"9.00

",,,,
2022-01-02T16:32:48+07:00,39,80.00,26.70,3017.30,"0.00

",,,,
2022-01-02T16:33:06+07:00,40,2093.05,80.00,0.00,"26.29

",,,,
2022-01-02T16:33:23+07:00,41,3467.03,80.00,30.00,"26.29

",,,,
2022-01-02T16:33:39+07:00,42,80.00,26.70,2345.11,"0.00

",,,,
2022-01-02T16:33:55+07:00,43,0.70,3474.00,79.00,"26.00

",,,,
2022-01-02T16:34:23+07:00,44,72.00,79.00,26.70,"20.00

",,,,
2022-01-02T16:34:41+07:00,45,3474.00,0.00,9.00,"26.70

",,,,
2022-01-02T16:34:58+07:00,46,235965535.00,0.00,79.00,"26.70

",,,,
2022-01-02T16:35:16+07:00,47,351365535.00,0.00,78.00,"26.20

",,,,
2022-01-02T16:40:21+07:00,48,30.00,79.00,25.79,"3506.00

",,,,
2022-01-02T16:40:42+07:00,49,30.00,80.00,25.79,"3485.00

",,,,
2022-01-02T16:41:04+07:00,50,30.00,80.00,26.20,"3032.00

",,,,
2022-01-02T16:44:36+07:00,51,0.00,0.00,0.00,"0.00

",,,,
2022-01-02T16:45:15+07:00,52,65535.00,75.00,27.60,"0.00

",,,,
2022-01-02T16:45:47+07:00,53,65535.00,75.00,27.60,"0.00

",,,,
2022-01-02T16:48:02+07:00,54,65535.00,72.00,28.50,"0.00

",,,,
2022-01-02T17:07:22+07:00,55,0.00,0.00,0.00,"0.00

",,,,
2022-01-02T17:07:44+07:00,56,0.00,0.00,0.00,"0.00

",,,,
2022-01-02T17:08:28+07:00,57,0.00,0.00,0.00,"0.00

",,,,
2022-01-02T17:08:50+07:00,58,0.00,0.00,0.00,"0.00

",,,,
2022-01-02T17:10:02+07:00,59,52.00,0.00,0.00,"0.00

",,,,
2022-01-02T17:10:33+07:00,60,35.01,35.01,35.01,"0.00

",,,,
2022-01-02T17:10:49+07:00,61,35.01,35.01,35.01,"35.01

",,,,
2022-01-02T17:11:05+07:00,62,35.01,35.01,35.01,"35.01

",,,,
2022-01-02T17:11:21+07:00,63,35.01,35.01,35.01,"35.01

",,,,
2022-01-02T17:11:52+07:00,64,0.00,0.00,0.00,"0.00

",,,,
2022-01-02T17:14:08+07:00,65,65535.00,73.00,26.70,"0.00

",,,,
2022-01-02T17:15:12+07:00,66,65535.00,74.00,26.70,"3579.00

",,,,
2022-01-02T17:15:28+07:00,67,65535.00,74.00,26.70,"3579.00

",,,,
2022-01-02T17:18:19+07:00,68,0.00,0.00,0.00,"0.00

",,,,
2022-01-02T17:18:50+07:00,69,0.00,0.00,0.00,"0.00

",,,,
2022-01-02T17:19:06+07:00,70,1.00,1.00,1.00,"1.00

",,,,
2022-01-02T17:19:22+07:00,71,0.00,0.00,0.00,"0.00

",,,,
2022-01-02T17:19:38+07:00,72,0.00,0.00,0.00,"0.00

",,,,
2022-01-02T17:20:09+07:00,73,0.00,0.00,0.00,"0.00

",,,,
2022-01-02T17:20:25+07:00,74,0.00,0.00,0.00,"0.00

",,,,
2022-01-02T17:20:42+07:00,75,0.00,0.00,0.00,"0.00

",,,,
2022-01-02T17:28:22+07:00,76,65535.00,72.00,27.60,"9.00

",,,,
2022-01-02T17:28:38+07:00,77,65535.00,72.00,27.60,"32.00

",,,,
2022-01-02T17:29:39+07:00,78,65535.00,72.00,27.10,"30.00

",,,,
2022-01-02T17:33:30+07:00,79,65535.00,73.00,26.20,"35.00

",,,,
2022-01-02T17:33:46+07:00,80,65535.00,73.00,26.20,"44.00

",,,,
2022-01-02T17:38:16+07:00,81,13.00,75.00,26.20,"32.00

",,,,
2022-01-02T17:43:01+07:00,82,13.00,75.00,27.10,"46.00

",,,,
